prediction,trueLabel
40787.157935858600,34983
40786.543940664100,33511
40785.67585700590,33905
40775.11441756990,45555
40775.11441756990,45555
40775.11441756990,45555
40775.11441756990,38680
40775.11441756990,38680
40775.11441756990,38680
40775.11441756990,38680
40775.11441756990,37150
40775.11441756990,37150
40775.11441756990,37150
40775.11441756990,36760
40775.11441756990,35285
40775.11441756990,35285
40773.51069613180,39975
40770.93925024740,42640
40757.84638497780,32200
40756.45197598570,45280
40756.45197598570,40062
40756.45197598570,39552
40756.45197598570,39136
40756.45197598570,39136
40756.45197598570,38503
40756.45197598570,37268
40756.45197598570,36023
40756.45197598570,33675
40755.592382713400,50900
40755.101186557800,57210
40755.101186557800,53725
40755.101186557800,50510
40755.101186557800,48100
40755.101186557800,48100
40754.487191363300,48100
40753.995995207700,49405
40753.38200001320,48090
